Img #,Interesting?,Extracted?
1,N,N
4,Y,N
7,Y,Y
10,Y,Y
13,Y,Y
16,Y,Y
19,Y,Y
22,N,Y
25,Y,Y
28,Y,Y
31,Y,Y
34,Y,Y
37,Y,Y
40,Y,Y
43,Y,Y
46,Y,N
49,Y,N
52,Y,N
55,Y,Y
58,Y,Y
61,Y,Y
64,Y,N
67,Y,Y
70,Y,N
73,N,N
76,Y,N
79,N,N
82,Y,Y
85,Y,Y
88,Y,Y
91,Y,Y
94,Y,N
97,N,Y
100,Y,Y
103,Y,Y
106,Y,N
109,N,N
112,N,N
115,N,N
118,N,N
121,Y,Y
124,N,N
127,Y,N
130,Y,Y
133,N,N
136,Y,N
139,Y,Y
142,Y,Y
145,N,N
148,N,Y
151,N,N
154,Y,Y
157,N,N
160,Y,Y
163,Y,Y
166,Y,Y
169,Y,Y
172,Y,Y
175,Y,N
178,Y,Y
181,Y,Y
184,Y,Y
187,Y,Y
190,Y,Y
193,N,N
196,N,N
199,N,N
202,N,N
205,N,N
208,N,N
211,N,N
214,N,N
217,N,N
220,N,N
223,N,N
226,N,N
229,N,N
232,N,N
235,N,N
238,N,N
241,N,N
244,N,N
247,N,N
250,N,N
253,N,N
256,N,N
259,N,N
262,N,N
265,N,N
268,N,N
271,N,N
274,N,N
277,N,N
280,N,N
283,N,N
286,N,N
289,N,N
292,N,N
295,N,N
298,N,N
301,N,N
304,N,N
307,N,N
310,N,N
313,N,N
316,N,N
319,N,N
322,N,N
325,N,N
328,N,N
331,N,N
334,N,N
337,N,N
340,N,N
343,N,N
346,N,N
349,N,N
352,N,N
355,N,N
358,N,N
361,N,N
364,N,N
367,N,N
370,N,N
373,N,N
376,N,N
379,N,N
382,N,N
385,N,N
388,N,N
391,N,N
394,N,N
397,N,N
400,N,N
403,N,N
406,N,N
409,N,N
412,N,N
415,N,N
418,N,N
421,N,N
424,N,N
427,N,N
430,N,N
433,N,N
436,N,N
439,N,N
442,N,N
445,N,N
448,N,N
451,N,N
454,N,N
457,N,N
460,N,N
463,N,N
466,N,N
469,N,N
472,N,N
475,N,N
478,N,N
481,N,N
484,N,N
487,N,N
490,N,N
493,N,N
496,N,N
499,N,N
502,N,N
505,N,N
508,N,N
511,N,N
514,N,N
517,N,N
520,N,N
523,N,N
526,N,N
529,N,N
532,N,N
535,N,N
538,N,N
541,N,N
544,N,N
547,N,N
550,N,N
553,N,N
556,N,N
559,N,N
562,N,N
565,N,N
568,N,N
571,N,N
574,N,N
577,N,N
580,N,N
583,N,N
586,N,N
589,N,N
592,N,N
595,N,N
598,N,N
601,Y,Y
604,N,N
607,N,N
610,N,N
613,N,N
616,N,N
619,N,N
622,N,N
625,N,N
628,N,N
631,N,N
634,N,N
637,N,N
640,N,N
643,N,N
646,N,N
649,N,N
652,N,N
655,N,N
658,N,N
661,N,N
664,N,N
667,N,N
670,N,N
673,N,N
676,N,N
679,N,N
682,N,N
685,N,N
688,N,N
691,N,N
694,N,N
697,N,N
700,N,N
703,N,N
706,N,N
709,N,N
712,N,N
715,N,N
718,N,N
721,N,N
724,N,N
727,N,N
730,N,N
733,N,N
736,N,N
739,N,N
742,N,N
745,N,N
748,N,N
751,N,N
754,N,N
757,N,Y
760,N,N
763,N,N
766,Y,Y
769,Y,Y
772,Y,Y
775,Y,Y
778,Y,Y
781,Y,Y
784,Y,Y
787,Y,Y
790,Y,Y
793,Y,Y
796,Y,Y
799,N,Y
802,Y,Y
805,Y,Y
808,Y,Y
811,Y,Y
814,Y,Y
817,Y,Y
820,Y,Y
823,Y,Y
826,Y,Y
829,Y,Y
832,Y,N
835,Y,Y
838,Y,Y
841,Y,Y
844,Y,Y
847,Y,Y
850,Y,Y
853,Y,Y
856,Y,Y
859,Y,N
862,Y,Y
865,Y,Y
868,Y,Y
871,Y,Y
874,Y,Y
877,Y,N
880,Y,Y
883,Y,Y
886,Y,Y
889,Y,Y
892,Y,N
895,Y,Y
898,Y,N
