"del","undel","all","mode","bw","transMode"
"1",1539863,17743,1557606,"NK_NK_NK","normal","ideal"
"2",1222359,111950,1334309,"NK_MK_NK","normal","ideal"
"3",1221699,23429,1245128,"MK_MK_NK","normal","ideal"
"4",828928,769803,1598731,"MK_HK_NK","normal","ideal"
"5",2212864,144126,2356990,"HK_HK_NK","normal","ideal"
"6",1277108,11215,1288323,"NK_NK_MK","normal","ideal"
"7",1373096,4520,1377616,"NK_NK_HK","normal","ideal"
"8",1044931,599914,1644845,"NK_NK_NK","normal","variable"
"9",733773,467646,1201419,"NK_MK_NK","normal","variable"
"10",876971,547368,1424339,"MK_MK_NK","normal","variable"
"11",946826,744213,1691039,"MK_HK_NK","normal","variable"
"12",726839,428663,1155502,"HK_HK_NK","normal","variable"
"13",1067084,268356,1335440,"NK_NK_MK","normal","variable"
"14",904700,251668,1156368,"NK_NK_HK","normal","variable"
"15",2295764,9270113,11565877,"NK_NK_NK","saturated","ideal"
"16",2818821,8747026,11565847,"NK_MK_NK","saturated","ideal"
"17",1589364,10422795,12012159,"MK_MK_NK","saturated","ideal"
"18",1942770,7821826,9764596,"MK_HK_NK","saturated","ideal"
"19",2179317,7613897,9793214,"HK_HK_NK","saturated","ideal"
"20",3467107,8541376,12008483,"NK_NK_MK","saturated","ideal"
"21",2912933,6873688,9786621,"NK_NK_HK","saturated","ideal"
"22",1191197,10373968,11565165,"NK_NK_NK","saturated","variable"
"23",1235196,9437925,10673121,"NK_MK_NK","saturated","variable"
"24",704792,9529566,10234358,"MK_MK_NK","saturated","variable"
"25",696815,12198584,12895399,"MK_HK_NK","saturated","variable"
"26",1204259,10807308,12011567,"HK_HK_NK","saturated","variable"
"27",1731296,10270433,12001729,"NK_NK_MK","saturated","variable"
"28",1904383,11886094,13790477,"NK_NK_HK","saturated","variable"
